recipe,ingredient,grams,kcal_100,protein_100,fat_100,carbs_100,fiber_100,protein_contribution,kcal_contribution
Индейка с зелёной фасолью,Оливковое масло,15,884,0,100,0,0,0.0,132.6
Индейка с зелёной фасолью,Горчица,10,66,4.4,4,5.8,3.3,0.44,6.6
Индейка с зелёной фасолью,Мёд,8,304,0.3,0,82,0.2,0.02,24.3
Индейка с зелёной фасолью,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Индейка с зелёной фасолью,Соль,0.8,0,0,0,0,0,0.0,0.0
Индейка с зелёной фасолью,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Индейка с зелёной фасолью,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Индейка с зелёной фасолью,Соевый соус,12,53,8.1,0.6,4.9,0.8,0.97,6.4
Индейка с зелёной фасолью,Имбирь,3,80,1.8,0.8,17.8,2,0.05,2.4
Индейка с зелёной фасолью,Зелёная фасоль,162,31,1.8,0.2,7,3.4,2.92,50.2
Форель с брокколи,Брокколи,162,34,2.8,0.4,7,2.6,4.54,55.1
Форель с брокколи,Салат,90,15,1.4,0.2,2.9,1.3,1.26,13.5
Форель с брокколи,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Форель с брокколи,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Форель с брокколи,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Форель с брокколи,Соль,0.8,0,0,0,0,0,0.0,0.0
Форель с брокколи,Форель,144,148,20.5,6.5,0,0,29.52,213.1
Форель с бататом,Батат,198,86,1.6,0.1,20,3,3.17,170.3
Форель с бататом,Шпинат,90,23,2.9,0.4,3.6,2.2,2.61,20.7
Форель с бататом,Лимон,30,29,1.1,0.3,9.3,2.8,0.33,8.7
Форель с бататом,Оливковое масло,14,884,0,100,0,0,0.0,123.8
Форель с бататом,Чёрный перец,0.8,251,10.4,3.3,64,25,0.08,2.0
Форель с бататом,Соль,0.8,0,0,0,0,0,0.0,0.0
Форель с бататом,Форель,144,148,20.5,6.5,0,0,29.52,213.1
Форель с булгуром и брокколи,Форель,160,148,20.5,6.5,0,0,32.8,236.8
Форель с булгуром и брокколи,Булгур,60,342,12,1.3,76,12.5,7.2,205.2
Форель с булгуром и брокколи,Брокколи,160,34,2.8,0.4,7,2.6,4.48,54.4
Форель с булгуром и брокколи,Лимон,15,29,1.1,0.3,9.3,2.8,0.17,4.3
Форель с булгуром и брокколи,Оливковое масло,5,884,0,100,0,0,0.0,44.2
Форель с булгуром и брокколи,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Форель с булгуром и брокколи,Соль,0.7,0,0,0,0,0,0.0,0.0
Форель с булгуром и брокколи,Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Кабачок с индейкой и сыром,Кабачок,162,17,1.2,0.3,3.1,1,1.94,27.5
Кабачок с индейкой и сыром,Грюйер,32,413,30,32,0.4,0,9.6,132.2
Кабачок с индейкой и сыром,Помидоры,135,18,0.9,0.2,3.9,1.2,1.22,24.3
Кабачок с индейкой и сыром,Горчица,17,66,4.4,4,5.8,3.3,0.75,11.2
Кабачок с индейкой и сыром,Мёд,14,304,0.3,0,82,0.2,0.04,42.6
Кабачок с индейкой и сыром,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Кабачок с индейкой и сыром,Оливковое масло,9,884,0,100,0,0,0.0,79.6
Кабачок с индейкой и сыром,Соль,0.8,0,0,0,0,0,0.0,0.0
Кабачок с индейкой и сыром,Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
Кабачок с индейкой и сыром,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Кабачок с индейкой и сыром,Индейка,153,114,23.7,1.5,0,0,36.26,174.4
Перловка с тофу и шпинатом,Тофу,162,144,17,9,3,2,27.54,233.3
Перловка с тофу и шпинатом,Шпинат,90,23,2.9,0.4,3.6,2.2,2.61,20.7
Перловка с тофу и шпинатом,Помидоры,135,18,0.9,0.2,3.9,1.2,1.22,24.3
Перловка с тофу и шпинатом,Соевый соус,30,53,8.1,0.6,4.9,0.8,2.43,15.9
Перловка с тофу и шпинатом,Имбирь,8,80,1.8,0.8,17.8,2,0.14,6.4
Перловка с тофу и шпинатом,Чеснок,6,149,6.4,0.5,33.1,2.1,0.38,8.9
Перловка с тофу и шпинатом,Лайм,10,30,0.7,0.2,10.5,2.8,0.07,3.0
Перловка с тофу и шпинатом,Перловка,68,352,9.9,1.2,78,15.6,6.73,239.4
"Йогурт с бананом, чиа и миндалём",Греческий йогурт 2%,180,73,9,2,4,0,16.2,131.4
"Йогурт с бананом, чиа и миндалём",Банан,100,89,1.1,0.3,23,2.6,1.1,89.0
"Йогурт с бананом, чиа и миндалём",Семена чиа,10,486,17,31,42,34,1.7,48.6
"Йогурт с бананом, чиа и миндалём",Миндаль,12,579,21,50,22,12.5,2.52,69.5
"Йогурт с клубникой, овсянкой и миндалём",Греческий йогурт 2%,180,73,9,2,4,0,16.2,131.4
"Йогурт с клубникой, овсянкой и миндалём",Клубника,120,32,0.7,0.3,7.7,2,0.84,38.4
"Йогурт с клубникой, овсянкой и миндалём",Овсянка,35,370,13,7,62,10,4.55,129.5
"Йогурт с клубникой, овсянкой и миндалём",Миндаль,15,579,21,50,22,12.5,3.15,86.8
Овсянка с вишней и грецкими орехами,Овсянка,55,370,13,7,62,10,7.15,203.5
Овсянка с вишней и грецкими орехами,"Молоко 3,2%",180,60,3.2,3.2,4.7,0,5.76,108.0
Овсянка с вишней и грецкими орехами,Вишня,100,50,1,0.3,12,1.6,1.0,50.0
Овсянка с вишней и грецкими орехами,Грецкие орехи,15,654,15,65,14,6.7,2.25,98.1
Овсянка с вишней и грецкими орехами,Соль,0.5,0,0,0,0,0,0.0,0.0
Овсянка с грушей и миндалём,Овсянка,55,370,13,7,62,10,7.15,203.5
Овсянка с грушей и миндалём,"Молоко 3,2%",180,60,3.2,3.2,4.7,0,5.76,108.0
Овсянка с грушей и миндалём,Груша,120,57,0.4,0.1,15,3.1,0.48,68.4
Овсянка с грушей и миндалём,Миндаль,15,579,21,50,22,12.5,3.15,86.8
Овсянка с грушей и миндалём,Соль,0.5,0,0,0,0,0,0.0,0.0
"Омлет с фетой, шпинатом и помидорами",Яйца,120,143,12.6,9.5,0.7,0,15.12,171.6
"Омлет с фетой, шпинатом и помидорами",Фета,35,265,14.2,21.5,3.9,0,4.97,92.8
"Омлет с фетой, шпинатом и помидорами",Шпинат,70,23,2.9,0.4,3.6,2.2,2.03,16.1
"Омлет с фетой, шпинатом и помидорами",Помидоры,100,18,0.9,0.2,3.9,1.2,0.9,18.0
"Омлет с фетой, шпинатом и помидорами",Оливковое масло,4,884,0,100,0,0,0.0,35.4
"Омлет с фетой, шпинатом и помидорами",Соль,0.7,0,0,0,0,0,0.0,0.0
"Омлет с фетой, шпинатом и помидорами",Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
"Омлет с моцареллой, помидорами и базиликом",Яйца,120,143,12.6,9.5,0.7,0,15.12,171.6
"Омлет с моцареллой, помидорами и базиликом",Моцарелла,40,254,24.3,15.9,2.8,0,9.72,101.6
"Омлет с моцареллой, помидорами и базиликом",Помидоры,120,18,0.9,0.2,3.9,1.2,1.08,21.6
"Омлет с моцареллой, помидорами и базиликом",Базилик,4,23,3.2,0.6,2.7,1.6,0.13,0.9
"Омлет с моцареллой, помидорами и базиликом",Оливковое масло,4,884,0,100,0,0,0.0,35.4
"Омлет с моцареллой, помидорами и базиликом",Соль,0.7,0,0,0,0,0,0.0,0.0
"Тост с авокадо, яйцом и помидорами",Хлеб цельнозерновой,75,252,12.45,3.5,42.71,6,9.34,189.0
"Тост с авокадо, яйцом и помидорами",Авокадо,70,160,2,15,8.5,6.7,1.4,112.0
"Тост с авокадо, яйцом и помидорами",Яйца,60,143,12.6,9.5,0.7,0,7.56,85.8
"Тост с авокадо, яйцом и помидорами",Помидоры,100,18,0.9,0.2,3.9,1.2,0.9,18.0
"Тост с авокадо, яйцом и помидорами",Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
"Тост с авокадо, яйцом и помидорами",Соль,0.5,0,0,0,0,0,0.0,0.0
"Тост с авокадо, яйцом и помидорами",Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Творог с бананом и грецкими орехами,Творог 5%,180,121,17,5,3,0,30.6,217.8
Творог с бананом и грецкими орехами,Банан,100,89,1.1,0.3,23,2.6,1.1,89.0
Творог с бананом и грецкими орехами,Грецкие орехи,15,654,15,65,14,6.7,2.25,98.1
Греческий йогурт с манго и фисташками,Греческий йогурт 2%,180,73,9,2,4,0,16.2,131.4
Греческий йогурт с манго и фисташками,Манго,120,60,0.8,0.4,15,1.6,0.96,72.0
Греческий йогурт с манго и фисташками,Фисташки,15,562,20,45,28,10,3.0,84.3
"Киноа-боул с курицей, авокадо и томатами",Курица,150,120,22.5,2.6,0,0,33.75,180.0
"Киноа-боул с курицей, авокадо и томатами",Киноа,65,368,14,6,64,7,9.1,239.2
"Киноа-боул с курицей, авокадо и томатами",Авокадо,60,160,2,15,8.5,6.7,1.2,96.0
"Киноа-боул с курицей, авокадо и томатами",Помидоры,120,18,0.9,0.2,3.9,1.2,1.08,21.6
"Киноа-боул с курицей, авокадо и томатами",Лимон,12,29,1.1,0.3,9.3,2.8,0.13,3.5
"Киноа-боул с курицей, авокадо и томатами",Оливковое масло,5,884,0,100,0,0,0.0,44.2
"Киноа-боул с курицей, авокадо и томатами",Соль,0.8,0,0,0,0,0,0.0,0.0
"Киноа-боул с курицей, авокадо и томатами",Чёрный перец,0.3,251,10.4,3.3,64,25,0.03,0.8
"Булгур с индейкой, кабачком и йогуртовым соусом",Индейка,150,114,23.7,1.5,0,0,35.55,171.0
"Булгур с индейкой, кабачком и йогуртовым соусом",Булгур,70,342,12,1.3,76,12.5,8.4,239.4
"Булгур с индейкой, кабачком и йогуртовым соусом",Кабачок,140,17,1.2,0.3,3.1,1,1.68,23.8
"Булгур с индейкой, кабачком и йогуртовым соусом",Греческий йогурт 2%,35,73,9,2,4,0,3.15,25.6
"Булгур с индейкой, кабачком и йогуртовым соусом",Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
"Булгур с индейкой, кабачком и йогуртовым соусом",Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
"Булгур с индейкой, кабачком и йогуртовым соусом",Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
"Булгур с индейкой, кабачком и йогуртовым соусом",Соль,0.8,0,0,0,0,0,0.0,0.0
"Кускус с курицей, перцем и лимонной заправкой",Курица,150,120,22.5,2.6,0,0,33.75,180.0
"Кускус с курицей, перцем и лимонной заправкой",Кускус,70,376,12.8,0.6,77,5,8.96,263.2
"Кускус с курицей, перцем и лимонной заправкой",Перец,130,31,1,0.3,6,2.1,1.3,40.3
"Кускус с курицей, перцем и лимонной заправкой",Лимон,15,29,1.1,0.3,9.3,2.8,0.17,4.3
"Кускус с курицей, перцем и лимонной заправкой",Оливковое масло,6,884,0,100,0,0,0.0,53.0
"Кускус с курицей, перцем и лимонной заправкой",Петрушка,3,36,3,0.8,6.3,3.3,0.09,1.1
"Кускус с курицей, перцем и лимонной заправкой",Соль,0.8,0,0,0,0,0,0.0,0.0
"Рис с индейкой, брокколи и соево-имбирным соусом",Индейка,150,114,23.7,1.5,0,0,35.55,171.0
"Рис с индейкой, брокколи и соево-имбирным соусом",Рис,70,360,7,1,79,1.3,4.9,252.0
"Рис с индейкой, брокколи и соево-имбирным соусом",Брокколи,150,34,2.8,0.4,7,2.6,4.2,51.0
"Рис с индейкой, брокколи и соево-имбирным соусом",Соевый соус,15,53,8.1,0.6,4.9,0.8,1.22,8.0
"Рис с индейкой, брокколи и соево-имбирным соусом",Имбирь,4,80,1.8,0.8,17.8,2,0.07,3.2
"Рис с индейкой, брокколи и соево-имбирным соусом",Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
"Говядина с рисом, перцем и имбирём",Говядина,150,176,21.4,10.0,0,0,32.1,264.0
"Говядина с рисом, перцем и имбирём",Рис,70,360,7,1,79,1.3,4.9,252.0
"Говядина с рисом, перцем и имбирём",Перец,140,31,1,0.3,6,2.1,1.4,43.4
"Говядина с рисом, перцем и имбирём",Соевый соус,15,53,8.1,0.6,4.9,0.8,1.22,8.0
"Говядина с рисом, перцем и имбирём",Имбирь,4,80,1.8,0.8,17.8,2,0.07,3.2
"Говядина с рисом, перцем и имбирём",Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
"Тофу с киноа, брокколи и тахини",Тофу,170,144,17,9,3,2,28.9,244.8
"Тофу с киноа, брокколи и тахини",Киноа,65,368,14,6,64,7,9.1,239.2
"Тофу с киноа, брокколи и тахини",Брокколи,150,34,2.8,0.4,7,2.6,4.2,51.0
"Тофу с киноа, брокколи и тахини",Тахини,15,595,17,54,21,9.3,2.55,89.2
"Тофу с киноа, брокколи и тахини",Лимон,12,29,1.1,0.3,9.3,2.8,0.13,3.5
"Тофу с киноа, брокколи и тахини",Чеснок,2,149,6.4,0.5,33.1,2.1,0.13,3.0
"Чечевица с булгуром, томатами и петрушкой",Чечевица готовая,160,116,9.0,0.4,20.1,7.9,14.4,185.6
"Чечевица с булгуром, томатами и петрушкой",Булгур,60,342,12,1.3,76,12.5,7.2,205.2
"Чечевица с булгуром, томатами и петрушкой",Помидоры,140,18,0.9,0.2,3.9,1.2,1.26,25.2
"Чечевица с булгуром, томатами и петрушкой",Петрушка,5,36,3,0.8,6.3,3.3,0.15,1.8
"Чечевица с булгуром, томатами и петрушкой",Лимон,12,29,1.1,0.3,9.3,2.8,0.13,3.5
"Чечевица с булгуром, томатами и петрушкой",Оливковое масло,5,884,0,100,0,0,0.0,44.2
"Нут с кускусом, перцем и тахини",Нут готовый,160,164,8.9,2.6,27.4,7.6,14.24,262.4
"Нут с кускусом, перцем и тахини",Кускус,65,376,12.8,0.6,77,5,8.32,244.4
"Нут с кускусом, перцем и тахини",Перец,130,31,1,0.3,6,2.1,1.3,40.3
"Нут с кускусом, перцем и тахини",Тахини,15,595,17,54,21,9.3,2.55,89.2
"Нут с кускусом, перцем и тахини",Лимон,12,29,1.1,0.3,9.3,2.8,0.13,3.5
"Нут с кускусом, перцем и тахини",Чеснок,2,149,6.4,0.5,33.1,2.1,0.13,3.0
Паста с курицей и томатно-базиликовым соусом,Курица,145,120,22.5,2.6,0,0,32.62,174.0
Паста с курицей и томатно-базиликовым соусом,Макароны цельнозерновые,75,348,14,2.5,64,8,10.5,261.0
Паста с курицей и томатно-базиликовым соусом,Томатная паста,40,82,4.3,0.5,18.9,4.1,1.72,32.8
Паста с курицей и томатно-базиликовым соусом,Помидоры,120,18,0.9,0.2,3.9,1.2,1.08,21.6
Паста с курицей и томатно-базиликовым соусом,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Паста с курицей и томатно-базиликовым соусом,Базилик,5,23,3.2,0.6,2.7,1.6,0.16,1.1
Паста с курицей и томатно-базиликовым соусом,Оливковое масло,5,884,0,100,0,0,0.0,44.2
Паста с консервированным тунцом и томатами,Тунец консервированный в собственном соку,130,116,25.5,0.8,0,0,33.15,150.8
Паста с консервированным тунцом и томатами,Макароны цельнозерновые,75,348,14,2.5,64,8,10.5,261.0
Паста с консервированным тунцом и томатами,Томатная паста,35,82,4.3,0.5,18.9,4.1,1.5,28.7
Паста с консервированным тунцом и томатами,Помидоры,120,18,0.9,0.2,3.9,1.2,1.08,21.6
Паста с консервированным тунцом и томатами,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Паста с консервированным тунцом и томатами,Базилик,4,23,3.2,0.6,2.7,1.6,0.13,0.9
Паста с консервированным тунцом и томатами,Оливковое масло,5,884,0,100,0,0,0.0,44.2
Лосось с киноа и зелёной фасолью,Киноа,60,368,14,6,64,7,8.4,220.8
Лосось с киноа и зелёной фасолью,Зелёная фасоль,160,31,1.8,0.2,7,3.4,2.88,49.6
Лосось с киноа и зелёной фасолью,Лимон,15,29,1.1,0.3,9.3,2.8,0.17,4.3
Лосось с киноа и зелёной фасолью,Оливковое масло,5,884,0,100,0,0,0.0,44.2
Лосось с киноа и зелёной фасолью,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Лосось с киноа и зелёной фасолью,Лосось свежий,150,208,20,13,0,0,30.0,312.0
Треска с картофелем и лимонно-укропной заправкой,Треска,170,82,18,0.7,0,0,30.6,139.4
Треска с картофелем и лимонно-укропной заправкой,Картофель,240,77,2,0.1,17,2.2,4.8,184.8
Треска с картофелем и лимонно-укропной заправкой,Огурцы,100,15,0.7,0.1,3.6,0.5,0.7,15.0
Треска с картофелем и лимонно-укропной заправкой,Лимон,15,29,1.1,0.3,9.3,2.8,0.17,4.3
Треска с картофелем и лимонно-укропной заправкой,Оливковое масло,5,884,0,100,0,0,0.0,44.2
Треска с картофелем и лимонно-укропной заправкой,Укроп,4,43,3.5,1.1,7,2.1,0.14,1.7
Форель с кускусом и брокколи,Форель,160,148,20.5,6.5,0,0,32.8,236.8
Форель с кускусом и брокколи,Кускус,60,376,12.8,0.6,77,5,7.68,225.6
Форель с кускусом и брокколи,Брокколи,160,34,2.8,0.4,7,2.6,4.48,54.4
Форель с кускусом и брокколи,Лимон,15,29,1.1,0.3,9.3,2.8,0.17,4.3
Форель с кускусом и брокколи,Оливковое масло,5,884,0,100,0,0,0.0,44.2
Форель с кускусом и брокколи,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Форель с кускусом и брокколи,Соль,0.7,0,0,0,0,0,0.0,0.0
Форель с кускусом и брокколи,Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Креветки с рисом и кабачком в соево-имбирном соусе,Креветки сырые,170,85,20.1,0.5,0.2,0,34.17,144.5
Креветки с рисом и кабачком в соево-имбирном соусе,Рис,65,360,7,1,79,1.3,4.55,234.0
Креветки с рисом и кабачком в соево-имбирном соусе,Кабачок,150,17,1.2,0.3,3.1,1,1.8,25.5
Креветки с рисом и кабачком в соево-имбирном соусе,Соевый соус,15,53,8.1,0.6,4.9,0.8,1.22,8.0
Креветки с рисом и кабачком в соево-имбирном соусе,Имбирь,4,80,1.8,0.8,17.8,2,0.07,3.2
Креветки с рисом и кабачком в соево-имбирном соусе,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Свинина с гречкой и горчичным соусом,Свинина постная,150,143,21.4,5.7,0,0,32.1,214.5
Свинина с гречкой и горчичным соусом,Гречка,65,343,13,3.4,72,10,8.45,222.9
Свинина с гречкой и горчичным соусом,Зелёная фасоль,140,31,1.8,0.2,7,3.4,2.52,43.4
Свинина с гречкой и горчичным соусом,Горчица,8,66,4.4,4,5.8,3.3,0.35,5.3
Свинина с гречкой и горчичным соусом,Уксус винный,8,19,0,0,0.3,0,0.0,1.5
Свинина с гречкой и горчичным соусом,Оливковое масло,4,884,0,100,0,0,0.0,35.4
"Тёплый салат с курицей, свёклой и фетой",Курица,145,120,22.5,2.6,0,0,32.62,174.0
"Тёплый салат с курицей, свёклой и фетой",Свёкла,140,43,1.6,0.2,10,2.8,2.24,60.2
"Тёплый салат с курицей, свёклой и фетой",Салат,70,15,1.4,0.2,2.9,1.3,0.98,10.5
"Тёплый салат с курицей, свёклой и фетой",Фета,35,265,14.2,21.5,3.9,0,4.97,92.8
"Тёплый салат с курицей, свёклой и фетой",Уксус бальзамический,10,88,0.5,0,17,0,0.05,8.8
"Тёплый салат с курицей, свёклой и фетой",Оливковое масло,5,884,0,100,0,0,0.0,44.2
"Тёплый салат с курицей, свёклой и фетой",Горчица,4,66,4.4,4,5.8,3.3,0.18,2.6
"Салат с консервированным тунцом, яйцом и картофелем",Тунец консервированный в собственном соку,120,116,25.5,0.8,0,0,30.6,139.2
"Салат с консервированным тунцом, яйцом и картофелем",Яйца,60,143,12.6,9.5,0.7,0,7.56,85.8
"Салат с консервированным тунцом, яйцом и картофелем",Картофель,180,77,2,0.1,17,2.2,3.6,138.6
"Салат с консервированным тунцом, яйцом и картофелем",Салат,70,15,1.4,0.2,2.9,1.3,0.98,10.5
"Салат с консервированным тунцом, яйцом и картофелем",Помидоры,100,18,0.9,0.2,3.9,1.2,0.9,18.0
"Салат с консервированным тунцом, яйцом и картофелем",Горчица,6,66,4.4,4,5.8,3.3,0.26,4.0
"Салат с консервированным тунцом, яйцом и картофелем",Лимон,10,29,1.1,0.3,9.3,2.8,0.11,2.9
"Салат с консервированным тунцом, яйцом и картофелем",Оливковое масло,5,884,0,100,0,0,0.0,44.2
Запечённый батат с нутом и тахини,Батат,240,86,1.6,0.1,20,3,3.84,206.4
Запечённый батат с нутом и тахини,Нут готовый,150,164,8.9,2.6,27.4,7.6,13.35,246.0
Запечённый батат с нутом и тахини,Шпинат,70,23,2.9,0.4,3.6,2.2,2.03,16.1
Запечённый батат с нутом и тахини,Тахини,18,595,17,54,21,9.3,3.06,107.1
Запечённый батат с нутом и тахини,Лимон,12,29,1.1,0.3,9.3,2.8,0.13,3.5
Запечённый батат с нутом и тахини,Чеснок,2,149,6.4,0.5,33.1,2.1,0.13,3.0
Тофу с баклажаном и рисом в соевом соусе,Тофу,170,144,17,9,3,2,28.9,244.8
Тофу с баклажаном и рисом в соевом соусе,Баклажан,160,25,1,0.2,6,3,1.6,40.0
Тофу с баклажаном и рисом в соевом соусе,Рис,65,360,7,1,79,1.3,4.55,234.0
Тофу с баклажаном и рисом в соевом соусе,Соевый соус,15,53,8.1,0.6,4.9,0.8,1.22,8.0
Тофу с баклажаном и рисом в соевом соусе,Имбирь,4,80,1.8,0.8,17.8,2,0.07,3.2
Тофу с баклажаном и рисом в соевом соусе,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
"Киноа с чечевицей, огурцом и лимонной заправкой",Киноа,60,368,14,6,64,7,8.4,220.8
"Киноа с чечевицей, огурцом и лимонной заправкой",Чечевица готовая,150,116,9.0,0.4,20.1,7.9,13.5,174.0
"Киноа с чечевицей, огурцом и лимонной заправкой",Огурцы,120,15,0.7,0.1,3.6,0.5,0.84,18.0
"Киноа с чечевицей, огурцом и лимонной заправкой",Помидоры,100,18,0.9,0.2,3.9,1.2,0.9,18.0
"Киноа с чечевицей, огурцом и лимонной заправкой",Лимон,15,29,1.1,0.3,9.3,2.8,0.17,4.3
"Киноа с чечевицей, огурцом и лимонной заправкой",Оливковое масло,6,884,0,100,0,0,0.0,53.0
"Киноа с чечевицей, огурцом и лимонной заправкой",Петрушка,4,36,3,0.8,6.3,3.3,0.12,1.4
Творог с малиной и миндалём,Творог 5%,160,121,17,5,3,0,27.2,193.6
Творог с малиной и миндалём,Малина,100,52,1.2,0.7,12,6.5,1.2,52.0
Творог с малиной и миндалём,Миндаль,15,579,21,50,22,12.5,3.15,86.8
"Тост с хумусом, огурцом и перцем",Хлеб цельнозерновой,65,252,12.45,3.5,42.71,6,8.09,163.8
"Тост с хумусом, огурцом и перцем",Хумус,75,166,8,10,14,6,6.0,124.5
"Тост с хумусом, огурцом и перцем",Огурцы,100,15,0.7,0.1,3.6,0.5,0.7,15.0
"Тост с хумусом, огурцом и перцем",Перец,80,31,1,0.3,6,2.1,0.8,24.8
"Тост с хумусом, огурцом и перцем",Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Кефир с бананом и льном,"Кефир 2,5%",220,53,3,2.5,4,0,6.6,116.6
Кефир с бананом и льном,Банан,90,89,1.1,0.3,23,2.6,0.99,80.1
Кефир с бананом и льном,Семена льна,10,534,18,42,29,27,1.8,53.4
Рикотта с клубникой и мёдом,Рикотта,120,174,11,13,3,0,13.2,208.8
Рикотта с клубникой и мёдом,Клубника,120,32,0.7,0.3,7.7,2,0.84,38.4
Рикотта с клубникой и мёдом,Мёд,8,304,0.3,0,82,0.2,0.02,24.3
Йогурт с яблоком и грецкими орехами,Греческий йогурт 2%,160,73,9,2,4,0,14.4,116.8
Йогурт с яблоком и грецкими орехами,Яблоко,120,52,0.3,0.2,14,2.4,0.36,62.4
Йогурт с яблоком и грецкими орехами,Грецкие орехи,15,654,15,65,14,6.7,2.25,98.1
Авокадо-тост с помидорами,Хлеб цельнозерновой,60,252,12.45,3.5,42.71,6,7.47,151.2
Авокадо-тост с помидорами,Авокадо,65,160,2,15,8.5,6.7,1.3,104.0
Авокадо-тост с помидорами,Помидоры,100,18,0.9,0.2,3.9,1.2,0.9,18.0
Авокадо-тост с помидорами,Лимон,8,29,1.1,0.3,9.3,2.8,0.09,2.3
Авокадо-тост с помидорами,Соль,0.4,0,0,0,0,0,0.0,0.0
Авокадо-тост с помидорами,Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Скумбрия с картофелем и огуречным салатом,Скумбрия,150,205,19,14,0,0,28.5,307.5
Скумбрия с картофелем и огуречным салатом,Картофель,220,77,2,0.1,17,2.2,4.4,169.4
Скумбрия с картофелем и огуречным салатом,Огурцы,120,15,0.7,0.1,3.6,0.5,0.84,18.0
Скумбрия с картофелем и огуречным салатом,Греческий йогурт 2%,35,73,9,2,4,0,3.15,25.6
Скумбрия с картофелем и огуречным салатом,Укроп,4,43,3.5,1.1,7,2.1,0.14,1.7
Скумбрия с картофелем и огуречным салатом,Лимон,10,29,1.1,0.3,9.3,2.8,0.11,2.9
"Индейка с перловкой, кабачком и шпинатом",Индейка,150,114,23.7,1.5,0,0,35.55,171.0
"Индейка с перловкой, кабачком и шпинатом",Перловка,65,352,9.9,1.2,78,15.6,6.43,228.8
"Индейка с перловкой, кабачком и шпинатом",Кабачок,140,17,1.2,0.3,3.1,1,1.68,23.8
"Индейка с перловкой, кабачком и шпинатом",Шпинат,70,23,2.9,0.4,3.6,2.2,2.03,16.1
"Индейка с перловкой, кабачком и шпинатом",Греческий йогурт 2%,35,73,9,2,4,0,3.15,25.6
"Индейка с перловкой, кабачком и шпинатом",Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Творог с клубникой и грецкими орехами,Творог 5%,160,121,17,5,3,0,27.2,193.6
Творог с клубникой и грецкими орехами,Клубника,120,32,0.7,0.3,7.7,2,0.84,38.4
Творог с клубникой и грецкими орехами,Грецкие орехи,15,654,15,65,14,6.7,2.25,98.1
Кефир с черникой и чиа,"Кефир 2,5%",220,53,3,2.5,4,0,6.6,116.6
Кефир с черникой и чиа,Черника,100,57,0.7,0.3,14,2.4,0.7,57.0
Кефир с черникой и чиа,Семена чиа,10,486,17,31,42,34,1.7,48.6
Омлет с брокколи и чеддером,Яйца,120,143,12.6,9.5,0.7,0,15.12,171.6
Омлет с брокколи и чеддером,Брокколи,100,34,2.8,0.4,7,2.6,2.8,34.0
Омлет с брокколи и чеддером,Чеддер,30,403,25,33,1.3,0,7.5,120.9
Омлет с брокколи и чеддером,Оливковое масло,4,884,0,100,0,0,0.0,35.4
Омлет с брокколи и чеддером,Соль,0.7,0,0,0,0,0,0.0,0.0
Омлет с брокколи и чеддером,Чёрный перец,0.2,251,10.4,3.3,64,25,0.02,0.5
Курица с гречкой и зелёной фасолью,Курица,150,120,22.5,2.6,0,0,33.75,180.0
Курица с гречкой и зелёной фасолью,Гречка,65,343,13,3.4,72,10,8.45,222.9
Курица с гречкой и зелёной фасолью,Зелёная фасоль,150,31,1.8,0.2,7,3.4,2.7,46.5
Курица с гречкой и зелёной фасолью,Греческий йогурт 2%,35,73,9,2,4,0,3.15,25.6
Курица с гречкой и зелёной фасолью,Чеснок,3,149,6.4,0.5,33.1,2.1,0.19,4.5
Курица с гречкой и зелёной фасолью,Укроп,3,43,3.5,1.1,7,2.1,0.1,1.3
Треска с киноа и кабачком,Треска,170,82,18,0.7,0,0,30.6,139.4
